Height,Air Temperature [K],w,U_m_s,V_m_s
8650,231.7545,0.03212588003,15,0
8700,231.521,0.03156662526,15,0
8750,231.2875,0.03101548962,15,0
8800,231.054,0.0304723822,15,0
8850,230.8205,0.02993721278,15,0
8900,230.587,0.02940989173,15,0
8950,230.3535,0.02889033008,15,0
9000,230.12,0.02837843947,15,0
9050,229.8865,0.02787413221,15,0
9100,229.653,0.02737732123,15,0
9150,229.4195,0.02688792008,15,0
9200,229.186,0.02640584295,15,0
9250,228.9525,0.02593100469,15,0
9300,228.719,0.02546332076,15,0
9350,228.4855,0.02500270725,15,0
9400,228.252,0.02454908089,15,0
9450,228.0185,0.02410235905,15,0
9500,227.785,0.02366245973,15,0
9550,227.5515,0.02322930155,15,0
9600,227.318,0.02280280376,15,0
9650,227.0845,0.02238288627,15,0
9700,226.851,0.02196946958,15,0
9750,226.6175,0.02156247484,15,0
9800,226.384,0.02116182383,15,0
9850,226.1505,0.02076743894,15,0
9900,225.917,0.02037924321,15,0
9950,225.6835,0.01999716028,15,0
10000,225.45,0.01962111443,15,0
10050,225.45,0.01977103087,15,0
10100,225.45,0.01992209266,15,0
10150,225.45,0.02007430854,15,0
10200,225.45,0.02022768732,15,0
10250,225.45,0.0203822379,15,0
10300,225.45,0.02053796922,15,0
10350,225.45,0.0206948903,15,0
10400,225.45,0.02085301023,15,0
10450,225.45,0.02101233816,15,0
10500,225.45,0.02117288333,15,0
10550,225.45,0.02133465503,15,0
10600,225.45,0.02149766263,15,0
10650,225.45,0.02166191556,15,0
10700,225.45,0.02182742335,15,0
10750,225.45,0.02199419558,15,0
10800,225.45,0.0221622419,15,0
10850,225.45,0.02233157205,15,0
10900,225.45,0.02250219583,15,0
10950,225.45,0.02267412313,15,0
11000,225.45,0.02284736389,15,0
11050,225.45,0.02302192816,15,0
11100,225.45,0.02319782604,15,0
11150,225.45,0.02337506771,15,0
11200,225.45,0.02355366345,15,0
11250,225.45,0.02373362359,15,0
11300,225.45,0.02391495856,15,0
11350,225.45,0.02409767886,15,0
11400,225.45,0.02428179506,15,0
11450,225.45,0.02446731783,15,0
11500,225.45,0.02465425791,15,0
11550,225.45,0.02484262613,15,0
11600,225.45,0.0250324334,15,0
11650,225.45,0.0252236907,15,0
11700,225.45,0.02541640911,15,0
11750,225.45,0.0256105998,15,0
11800,225.45,0.025806274,15,0
11850,225.45,0.02600344305,15,0
11900,225.45,0.02620211836,15,0
11950,225.45,0.02640231144,15,0
12000,225.45,0.02660403388,15,0
12050,225.45,0.02680729736,15,0
12100,225.45,0.02701211366,15,0
12150,225.45,0.02721849462,15,0
12200,225.45,0.0274264522,15,0
12250,225.45,0.02763599845,15,0
12300,225.45,0.02784714549,15,0
12350,225.45,0.02805990555,15,0
12400,225.45,0.02827429095,15,0
12450,225.45,0.02849031411,15,0
12500,225.45,0.02870798753,15,0
12550,225.45,0.02892732381,15,0
12600,225.45,0.02914833566,15,0
12650,225.45,0.02937103588,15,0
12700,225.45,0.02959543734,15,0
12750,225.45,0.02982155306,15,0
12800,225.45,0.03004939612,15,0
12850,225.45,0.03027897971,15,0
12900,225.45,0.03051031713,15,0
12950,225.45,0.03074342177,15,0
13000,225.45,0.03097830712,15,0
13050,225.45,0.03121498679,15,0
13100,225.45,0.03145347447,15,0
13150,225.45,0.03169378399,15,0
13200,225.45,0.03193592924,15,0
13250,225.45,0.03217992425,15,0
13300,225.45,0.03242578315,15,0
13350,225.45,0.03267352016,15,0
13400,225.45,0.03292314964,15,0
13450,225.45,0.03317468603,15,0
13500,225.45,0.0334281439,15,0
13550,225.45,0.03368353792,15,0
13600,225.45,0.03394088287,15,0
13650,225.45,0.03420019366,15,0
13700,225.45,0.03446148529,15,0
13750,225.45,0.0347247729,15,0
13800,225.45,0.03499007173,15,0
13850,225.45,0.03525739712,15,0
13900,225.45,0.03552676457,15,0
13950,225.45,0.03579818966,15,0
14000,225.45,0.03607168811,15,0
14050,225.45,0.03634727574,15,0
14100,225.45,0.03662496852,15,0
14150,225.45,0.03690478252,15,0
14200,225.45,0.03718673393,15,0
14250,225.45,0.03747083908,15,0
14300,225.45,0.03775711442,15,0
14350,225.45,0.03804557651,15,0
14400,225.45,0.03833624206,15,0
14450,225.45,0.03862912788,15,0
14500,225.45,0.03892425094,15,0
14550,225.45,0.03922162831,15,0
14600,225.45,0.03952127721,15,0
14650,225.45,0.03982321499,15,0
14700,225.45,0.04012745912,15,0
14750,225.45,0.04043402722,15,0
14800,225.45,0.04074293702,15,0
14850,225.45,0.04105420641,15,0
14900,225.45,0.04136785341,15,0
14950,225.45,0.04168389616,15,0
15000,225.45,0.04200235297,15,0
15050,225.45,0.04232324227,15,0
15100,225.45,0.04264658262,15,0
15150,225.45,0.04297239275,15,0
15200,225.45,0.04330069151,15,0
15250,225.45,0.0436314979,15,0
15300,225.45,0.04396483107,15,0
15350,225.45,0.04430071031,15,0
15400,225.45,0.04463915506,15,0
15450,225.45,0.04498018491,15,0
15500,225.45,0.0453238196,15,0
15550,225.45,0.04567007901,15,0
15600,225.45,0.04601898318,15,0
15650,225.45,0.04637055231,15,0
15700,225.45,0.04672480675,15,0
15750,225.45,0.04708176699,15,0
15800,225.45,0.04744145369,15,0
15850,225.45,0.04780388767,15,0
15900,225.45,0.04816908991,15,0
15950,225.45,0.04853708153,15,0
16000,225.45,0.04890788384,15,0
16050,225.45,0.04928151829,15,0
16100,225.45,0.0496580065,15,0
16150,225.45,0.05003737027,15,0
16200,225.45,0.05041963154,15,0
16250,225.45,0.05080481244,15,0
16300,225.45,0.05119293525,15,0
16350,225.45,0.05158402243,15,0
16400,225.45,0.05197809662,15,0
16450,225.45,0.05237518061,15,0
16500,225.45,0.05277529739,15,0
16550,225.45,0.0531784701,15,0
16600,225.45,0.05358472208,15,0
16650,225.45,0.05399407683,15,0
16700,225.45,0.05440655804,15,0
16750,225.45,0.05482218958,15,0
16800,225.45,0.05524099548,15,0
16850,225.45,0.055663,15,0
16900,225.45,0.05608822753,15,0
16950,225.45,0.05651670269,15,0
17000,225.45,0.05694845027,15,0
17050,225.45,0.05738349524,15,0
17100,225.45,0.05782186278,15,0
17150,225.45,0.05826357825,15,0
17200,225.45,0.0587086672,15,0
17250,225.45,0.05915715539,15,0
17300,225.45,0.05960906876,15,0
17350,225.45,0.06006443345,15,0
17400,225.45,0.06052327581,15,0
17450,225.45,0.06098562239,15,0
17500,225.45,0.06145149993,15,0
17550,225.45,0.06192093539,15,0
17600,225.45,0.06239395591,15,0
17650,225.45,0.06287058887,15,0
17700,225.45,0.06335086183,15,0
17750,225.45,0.06383480258,15,0
17800,225.45,0.06432243912,15,0
17850,225.45,0.06481379964,15,0
17900,225.45,0.06530891258,15,0
17950,225.45,0.06580780657,15,0
18000,225.45,0.06631051048,15,0
18050,225.45,0.06681705337,15,0
18100,225.45,0.06732746455,15,0
18150,225.45,0.06784177354,15,0
18200,225.45,0.06836001009,15,0
18250,225.45,0.06888220417,15,0
18300,225.45,0.06940838599,15,0
18350,225.45,0.06993858598,15,0
18400,225.45,0.0704728348,15,0
18450,225.45,0.07101116336,15,0
18500,225.45,0.07155360278,15,0
18550,225.45,0.07210018445,15,0
18600,225.45,0.07265093997,15,0
18650,225.45,0.07320590119,15,0
18700,225.45,0.07376510021,15,0
18750,225.45,0.07432856936,15,0
18800,225.45,0.07489634124,15,0
18850,225.45,0.07546844868,15,0
18900,225.45,0.07604492475,15,0
18950,225.45,0.07662580281,15,0
19000,225.45,0.07721111643,15,0
